brand,엑셀상품명,판매가격,광진가격(60%),image_url,url,idx
TAKT,Cross Chair,890000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/455b6d75966d4.png?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=1,1
TAKT,Cross Chair Tube,840000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/9db4bcf139f2e.png?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=2,2
TAKT,Arc Chair,1230000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/f498fd43dfdbb.png?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=3,3
TAKT,Soft Chair,1280000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/5757355832ee5.png?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=4,4
TAKT,Soft Lounge Chair,2360000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/b3902660710d1.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=5,5
TAKT,Tool Chair,798000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/187c6dce7855c.png?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=6,6
TAKT,Sling Lounge Chair,1810000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/11b85bab8184d.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=7,7
MUTOMO,MU. Type AT1800,1390000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/8434d42eb974b.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=8,8
MUTOMO,MU. Type AT1600,1260000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/d5644a03b2b33.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=9,9
MUTOMO,MU. Type AT1200,1140000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/94ddbf161b64c.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=10,10
MUTOMO,MU. Type AR1600,1260000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/61f8b272f8748.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=11,11
MUTOMO,MU. Type AC1100,1130000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/7a7879611df2c.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=12,12
MUTOMO,MU. Zero,180000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/9659cdc4888ec.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=13,13
MUTOMO,MU. Type OneB1200,430000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/e1c13ad35719c.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=15,15
MUTOMO,MU. Type OneV1200,490000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/bc94ab2055f75.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=19,19
MUTOMO,Rectangle Board - 7size,510000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/1dee1a82aabbd.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=23,23
TAKT,Cross Upholstery Padding,350000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/866cea3cb2567.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=26,26
TAKT,Cross Chair backrest,119000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/12ae39635b596.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=27,27
MUTOMO,Circle Board - 4size,90000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/6fe2f850d3ccb.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=28,28
MUTOMO,Round Board,480000,,https://cdn-optimized.imweb.me/upload/S20220913933c2e8a72cb1/87557fb9d8e27.jpg?w=800,https://www.mu-tomo.com/ALLPRODUCTS/?idx=29,29
